case_id,case_name,pose_id,role,source_mode,rank,total_score,phosphate_electrostatic,base_stacking,metal_coordination,contact_count,clash_count,rmsd_to_reference,expected_contact_hit_fraction,top_aptamer_interactions
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:4,decoy,4,7,101.610948,-0.068489,-0.109136,0.000000,2210,130,2.933,0.500,baseStacking R:102:C16#4 -> R:53:C8#1116 3.47 A score -0.109 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 2.20 A score -0.068
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:9,decoy,9,8,143.910261,-0.215501,0.000000,0.000000,767,97,8.000,0.250,phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 1.76 A score -0.076 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 2.94 A score -0.055 | phosphateElectrostatic R:102:O18#1 -> R:54:P#1125 3.78 A score -0.040 | baseStackingNearMiss C16#4 -> C8#1093 plane 4.74 A lateral 8.75 A angle 20.9 deg fail lateral | baseStackingNearMiss C16#4 -> C2#626 plane 3.06 A lateral 10.29 A angle 8.0 deg fail lateral
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:8,decoy,8,9,144.529886,-0.058478,0.000000,0.000000,2141,141,2.000,0.250,phosphateElectrostatic R:102:O9#16 -> R:23:P#459 3.99 A score -0.036 | phosphateElectrostatic R:102:N12#9 -> R:55:P#1148 5.40 A score -0.011 | phosphateElectrostatic R:102:N12#9 -> R:54:P#1125 5.62 A score -0.007 | baseStackingNearMiss C16#4 -> C8#1116 plane 4.54 A lateral 2.96 A angle 3.9 deg fail lateral | baseStackingNearMiss C16#4 -> C2#606 plane 4.09 A lateral 6.79 A angle 2.9 deg fail lateral
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:5,decoy,5,10,269.925777,-0.098339,0.000000,0.000000,1960,189,5.411,0.250,phosphateElectrostatic R:102:O9#16 -> R:54:P#1125 1.24 A score -0.086 | phosphateElectrostatic R:102:O9#16 -> R:53:P#1103 5.30 A score -0.013 | baseStackingNearMiss C16#4 -> C8#1116 plane 3.64 A lateral 1.69 A angle 49.5 deg fail angle | baseStackingNearMiss C16#4 -> C8#472 plane 2.92 A lateral 4.36 A angle 50.2 deg fail lateral+angle
4q9r-spinach-2zy,Spinach RNA aptamer bound to 2ZY fluorophore analog,decoy:10,decoy,10,11,271.284765,-0.089887,0.000000,0.000000,1654,188,8.000,0.000,phosphateElectrostatic R:102:O9#16 -> R:50:P#1040 3.59 A score -0.043 | phosphateElectrostatic R:102:O9#16 -> R:51:P#1060 4.80 A score -0.022 | phosphateElectrostatic R:102:N12#9 -> R:53:P#1103 5.18 A score -0.015 | baseStackingNearMiss C16#4 -> C8#1093 plane 3.50 A lateral 2.59 A angle 20.9 deg fail lateral | baseStackingNearMiss C16#4 -> C2#626 plane 3.60 A lateral 7.69 A angle 8.0 deg fail lateral
1fmn-fmn-riboswitch,FMN riboswitch bound to flavin mononucleotide,mode:1,reference,1,1,-9.230038,-0.314339,-0.199590,0.000000,2774,35,0.000,1.000,baseStacking Y:200:C4#5 -> Y:85:C8#608 3.19 A score -0.200 | phosphateElectrostatic Y:200:P#28 -> Y:67:N2#209 4.03 A score -0.026 | phosphateElectrostatic Y:200:P#28 -> Y:68:N2#232 4.19 A score -0.024
1fmn-fmn-riboswitch-mg,FMN riboswitch with crystallographic Mg bridge,mode:1,reference,1,1,-8.818028,-0.412836,-0.199590,-0.158184,2784,38,0.000,1.000,baseStacking Y:200:C4#5 -> Y:85:C8#608 3.19 A score -0.200 | metalCoordination Y:200:O1P#29 -> X:304:MG#2345 2.54 A score -0.158 | phosphateElectrostatic Y:200:P#28 -> X:304:MG#2345 3.45 A score -0.098
2g9c-purine-riboswitch,"Adenine/purine riboswitch bound to 3AY (pyrimidine-2,4,6-triamine)",mode:1,reference,1,1,-4.526907,0.000000,0.000000,0.000000,1092,22,0.000,0.000,baseStackingNearMiss C5#3 -> C8#801 plane 3.37 A lateral 3.19 A angle 6.5 deg fail lateral | baseStackingNearMiss C5#3 -> C8#141 plane 3.20 A lateral 3.83 A angle 0.5 deg fail lateral
4rzd-preq1-riboswitch,PreQ1 riboswitch bound to PRF (7-aminomethyl-7-deazaguanine analog),mode:1,reference,1,1,-4.243997,-0.112677,-0.237191,0.000000,1316,37,0.000,0.333,baseStacking A:201:C4#4 -> A:52:C8#398 3.53 A score -0.237 | phosphateElectrostatic A:201:H111#18 -> A:85:P#1200 3.14 A score -0.051 | phosphateElectrostatic A:201:N11#17 -> A:85:P#1200 4.02 A score -0.036
2gdi-tpp-riboswitch,"TPP riboswitch bound to CCC (thiamine pyrophosphate analog, chain X)",mode:1,reference,1,1,4.838371,-0.098115,-0.165612,0.000000,576,19,0.000,0.562,baseStacking X:89:C4#15 -> X:88:C2#1662 3.45 A score -0.166 | phosphateElectrostatic X:89:P#21 -> X:88:O3'#1657 1.60 A score -0.040 | phosphateElectrostatic X:89:P#21 -> X:88:O2'#1659 3.83 A score -0.020
2ygh-sam-riboswitch,SAM-I riboswitch bound to S-adenosylmethionine,mode:1,reference,1,1,-11.618967,0.000000,-0.209854,0.000000,2567,24,0.000,0.175,baseStacking A:96:C5#11 -> A:47:C2#1011 3.48 A score -0.210
3b4b-glms-riboswitch,glmS riboswitch/ribozyme bound to glucosamine-6-phosphate (GlcN6P),mode:1,reference,1,1,-2.332284,-0.153181,-0.256556,0.000000,401,6,0.000,0.375,baseStacking A:201:C2#2 -> A:1:C8#14 3.80 A score -0.257 | phosphateElectrostatic A:201:O1#6 -> A:1:P#1 3.78 A score -0.040 | phosphateElectrostatic A:201:N2#7 -> A:1:P#1 3.82 A score -0.039
2hoj-tpp-riboswitch,TPP riboswitch bound to thiamine pyrophosphate,mode:1,reference,1,1,-8.430727,-0.118437,-0.464378,0.000000,2017,26,0.000,0.500,baseStacking A:114:C4'#12 -> A:42:C8#275 3.35 A score -0.240 | baseStacking A:114:C4'#12 -> A:43:C8#298 3.33 A score -0.224 | phosphateElectrostatic A:114:PB#23 -> A:77:N4#998 3.95 A score -0.018
